gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,53,145,58,73,90,108,128
male,53,150,60,75,92,111,130
male,58,40,8,13,20,29,39
male,58,45,10,16,24,34,45
male,58,50,13,19,28,39,50
male,58,55,15,23,32,43,55
male,58,60,18,26,35,47,59
male,58,65,20,28,39,51,64
male,58,70,22,31,42,55,68
male,58,75,25,34,45,58,72
male,58,80,27,37,49,62,76
male,58,85,29,39,52,65,80
male,58,90,32,42,54,69,83
male,58,95,34,44,57,72,87
male,58,100,36,47,60,75,90
male,58,105,38,49,63,78,94
male,58,110,40,52,65,81,97
male,58,115,42,54,68,84,100
male,58,120,44,56,70,86,103
male,58,125,46,58,73,89,106
male,58,130,48,60,75,92,109
male,58,135,50,63,78,94,112
male,58,140,51,65,80,97,114
male,58,145,53,67,82,99,117
male,58,150,55,69,84,102,120
male,63,40,7,12,19,27,36
male,63,45,9,15,22,31,41
male,63,50,11,18,26,35,45
male,63,55,14,20,29,39,50
male,63,60,16,23,32,43,54
male,63,65,18,26,35,46,58
male,63,70,20,28,38,50,62
male,63,75,23,31,41,53,66
male,63,80,25,33,44,56,69
male,63,85,27,36,47,59,73
male,63,90,29,38,49,62,76
male,63,95,31,40,52,65,79
male,63,100,33,43,55,68,82
male,63,105,34,45,57,71,85
male,63,110,36,47,59,73,88
male,63,115,38,49,62,76,91
male,63,120,40,51,64,78,94
male,63,125,42,53,66,81,96
male,63,130,43,55,68,83,99
male,63,135,45,57,70,86,101
male,63,140,47,59,72,88,104
male,63,145,48,60,75,90,106
male,63,150,50,62,76,92,109
female,18,40,8,14,21,30,40
female,18,45,10,16,24,33,43
female,18,50,11,18,26,35,46
female,18,55,13,19,28,38,49
female,18,60,14,21,30,40,51
female,18,65,15,22,31,42,53
female,18,70,16,24,33,44,56
female,18,75,17,25,35,46,58
female,18,80,18,26,36,47,60
female,23,40,9,15,23,32,42
female,23,45,10,17,25,35,46
female,23,50,12,19,27,37,49
female,23,55,13,20,29,40,51
female,23,60,15,22,31,42,54
female,23,65,16,24,33,44,56
female,23,70,17,25,35,46,59
female,23,75,18,26,37,48,61
female,23,80,19,28,38,50,63
female,28,40,9,15,23,32,43
female,28,45,11,17,25,35,46
female,28,50,12,19,27,38,49
female,28,55,13,20,29,40,52
female,28,60,15,22,31,42,54
female,28,65,16,24,33,44,57
female,28,70,17,25,35,46,59
female,28,75,18,27,37,48,61
female,28,80,20,28,38,50,63
female,33,40,9,15,23,32,43
female,33,45,11,17,25,35,46
female,33,50,12,19,27,38,49
female,33,55,13,20,29,40,52
female,33,60,15,22,31,42,54
female,33,65,16,24,33,44,57
female,33,70,17,25,35,46,59
female,33,75,18,27,37,48,61
female,33,80,20,28,38,50,63
female,38,40,9,15,23,32,43
female,38,45,11,17,25,35,46
female,38,50,12,19,27,38,49
female,38,55,13,20,29,40,52
female,38,60,15,22,31,42,54
female,38,65,16,24,33,44,57
female,38,70,17,25,35,46,59
female,38,75,18,27,37,48,61
female,38,80,20,28,38,50,63
female,43,40,9,14,22,31,41
female,43,45,10,16,24,34,44
female,43,50,12,18,26,36,47
female,43,55,13,20,28,39,50
female,43,60,14,21,30,41,53
female,43,65,15,23,32,43,55
female,43,70,17,24,34,45,57
female,43,75,18,26,36,47,59
female,43,80,19,27,37,49,61
female,48,40,8,14,21,29,39
female,48,45,10,15,23,32,42
female,48,50,11,17,25,34,44
female,48,55,12,19,27,36,47
female,48,60,13,20,29,38,49
female,48,65,15,21,30,40,52
female,48,70,16,23,32,42,54
female,48,75,17,24,33,44,56
female,48,80,18,25,35,46,58
female,53,40,8,13,19,27,36
female,53,45,9,14,21,30,39
female,53,50,10,16,23,32,41
female,53,55,11,17,25,34,44
female,53,60,12,19,26,36,46
female,53,65,13,20,28,38,48
female,53,70,15,21,30,39,50
female,53,75,16,22,31,41,52
female,53,80,17,24,32,42,53
female,58,40,7,12,18,25,33
female,58,45,8,13,19,27,36
female,58,50,9,14,21,29,38
female,58,55,10,16,23,31,40
female,58,60,11,17,24,33,42
female,58,65,12,18,26,34,44
female,58,70,13,19,27,36,46
female,58,75,14,21,28,37,47
female,58,80,15,22,30,39,49
female,63,40,6,10,16,23,30
female,63,45,7,12,18,25,32
female,63,50,8,13,19,26,34
female,63,55,9,14,21,28,36
female,63,60,10,15,22,30,38
female,63,65,11,17,23,31,40
female,63,70,12,18,25,33,41
female,63,75,13,19,26,34,43
female,63,80,14,20,27,35,44
